# eQual,threshold,5.8,n_clusters,11
# frame,cluster
1565,0
1574,0
5103,0
5698,0
5156,0
5154,0
5135,0
5119,0
5105,0
1560,0
5106,0
1349,1
1344,1
1342,1
1341,1
1340,1
1338,1
1337,1
1054,1
4754,1
1339,1
1056,1
2,2
3764,2
1958,2
2125,2
3618,2
1930,2
1908,2
1447,2
998,2
339,2
68,2
4392,3
4322,3
4405,3
3388,3
4387,3
2495,3
4347,3
668,3
604,3
605,3
641,3
1730,4
1918,4
1715,4
1714,4
1898,4
3295,4
1712,4
1711,4
1701,4
2983,4
1914,4
5889,5
5973,5
5595,5
4607,5
5638,5
5666,5
3703,5
3676,5
3646,5
2918,5
2978,5
5422,6
5379,6
5382,6
5642,6
5404,6
5405,6
5637,6
5421,6
5643,6
5634,6
5426,6
5869,7
5406,7
5639,7
5833,7
5575,7
5680,7
5609,7
5671,7
5670,7
5840,7
5677,7
542,8
2262,8
2250,8
2409,8
2251,8
4461,8
2654,8
2655,8
2192,8
2253,8
2658,8
5842,9
5801,9
5774,9
5718,9
5847,9
4023,9
4330,9
5035,9
5038,9
4021,9
5849,9
5974,10
5937,10
5878,10
5169,10
5037,10
5022,10
5021,10
5000,10
5977,10
5240,10
5979,10
