# init_type: comp_sim, percentage: 10, metric: MSD, sieve: 1
# Number of clusters, Number of iterations, Calinski-Harabasz score, Davies-Bouldin score, Average MSD
5.0,35.0,1298.0110724674091,1.7952189516724073,9.02616933374012
6.0,26.0,1142.7931749143202,1.7808734463080693,8.34906886141414
7.0,42.0,1051.1405005244026,1.9452007508396378,8.10652997188106
8.0,53.0,967.302688247548,1.9277438358964547,7.819680574892905
9.0,38.0,882.0075891792757,2.0898084833160437,7.919928787911804
10.0,26.0,842.7994698565699,1.9944204294806465,7.64933860862277
11.0,28.0,780.5783364901091,1.9499213983801937,7.141503309859072
12.0,60.0,744.8361020639893,1.9200434471631223,7.059298527719039
13.0,70.0,710.4993105195817,1.8905885385669525,6.934678865187282
14.0,34.0,684.2615621897406,1.8692144538582804,6.9276378144101045
15.0,32.0,656.4137708135195,1.8701401701828615,6.69684403215551
16.0,46.0,632.4011309058469,1.8575588039058588,6.646912118383684
17.0,45.0,608.802131007394,1.917817242197432,6.625826942003239
18.0,29.0,595.6020829494339,1.9447185064016947,6.665039382506623
19.0,50.0,576.4691286099037,1.8916006609451521,6.599745921602391
20.0,43.0,563.098805638321,1.8400485134213167,6.487325965062025
21.0,54.0,547.598247032314,1.806774649533779,6.319671242766849
22.0,27.0,521.8850434398613,1.8737255390547232,6.287912350720808
23.0,32.0,520.4537438471906,1.8506616777264326,6.114562191328679
24.0,58.0,512.9738003353727,1.8272809513944275,6.005987257881785
25.0,37.0,497.52811491278624,1.8302381822913842,5.975090984982342
26.0,82.0,487.4272676758713,1.8315890783694426,5.940049737004286
27.0,62.0,468.77978703824317,1.869821169928582,5.888201231024777
28.0,62.0,462.9607649778026,1.8242954181086108,5.810240315286544
29.0,28.0,447.53664721247424,1.8836624712996741,5.846962418745504
