# init_type: strat_all, percentage: 10, metric: MSD, sieve: 1
# Number of clusters, Number of iterations, Calinski-Harabasz score, Davies-Bouldin score, Average MSD
5.0,31.0,1298.011072467409,1.7952189516720545,9.02616933374012
6.0,33.0,1155.2265700329074,1.870548848120854,8.691455279657045
7.0,38.0,1043.746229430505,2.0090123321054287,8.25499286930557
8.0,26.0,962.5230264177685,2.066075273567126,8.002051244407962
9.0,34.0,882.023846696927,2.00412718602212,7.8825976526338986
10.0,45.0,827.4847538743843,2.0195434688103893,7.701869219600236
11.0,71.0,792.654510211899,1.942027128284151,7.321210330250622
12.0,74.0,752.3453018813722,1.9488889049454097,7.21177163223858
13.0,65.0,711.0283267082503,1.9501621842448968,7.077134381688394
14.0,35.0,675.4640211023874,1.975994177305091,7.019797895759466
15.0,67.0,648.0741958305974,1.9090547592427143,6.781571771806285
16.0,33.0,629.3277469875372,1.944651421293802,6.662361703018631
17.0,50.0,598.7388896616859,1.9424817547805446,6.626060021362706
18.0,51.0,582.3364947529258,1.948169306397743,6.564337193659842
19.0,53.0,567.2853398249581,1.9253168538168326,6.437923772279085
20.0,45.0,553.3739137503999,1.9134515366883378,6.405801625761934
21.0,52.0,547.8561471858271,1.889108206210294,6.295807492578658
22.0,35.0,534.7986349444385,1.8586478992998232,6.170817925190009
23.0,36.0,518.6624867994246,1.8826906684353824,6.200337496462703
24.0,42.0,501.96877490913545,1.931959377294558,6.198282468705146
25.0,67.0,491.88146168196675,1.8457807027660318,6.067847509269
26.0,44.0,475.9247215005531,1.882496617719507,6.089437033502917
27.0,37.0,466.459420467758,1.8979510751107531,6.037570355962049
28.0,61.0,461.25799916004934,1.887603290949085,5.895674483046287
29.0,39.0,451.0061976817232,1.8837303771581044,5.835663410938928
30.0,55.0,441.9710749040546,1.873779844747926,5.797251348136999
